comprimé;0;MEDROL 100 mg, comprimé
solution injectable;0;DUPIXENT 300 mg, solution injectable en seringue préremplie
comprimé pelliculé;0;MOXONIDINE TEVA SANTE 0,2 mg, comprimé pelliculé
solution injectable;1;RÉGADÉNOSON;RAPISCAN 400 microgrammes, solution injectable
comprimé pelliculé;0;BISOPROLOL SANDOZ 1,25 mg, comprimé pelliculé
comprimé pelliculé;1;MOXIFLOXACINE BASE;MOXIFLOXACINE EG 400 mg, comprimé pelliculé
solution injectable;1;MÉTHOTREXATE;IMETH 12,5 mg/0,5 ml, solution injectable en seringue préremplie
solution injectable;1;OCTRÉOTIDE;OCTREOTIDE KABI 50 microgrammes/1 mL, solution injectable
comprimé;0;CHLORMADINONE MYLAN 10 mg, comprimé
comprimé;0;IRBESARTAN MYLAN 150 mg, comprimé
comprimé pelliculé;0;ARAVA 20 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;0;CALCAREA PICRATA BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
poudre pour solution à diluer pour perfusion;0;BENDAMUSTINE MYLAN 2,5 mg/ml, poudre pour solution à diluer pour perfusion
solution buvable;0;CHOPHYTOL 20 POUR CENT, solution buvable
comprimé;1;PÉRINDOPRIL;PERINDOPRIL ZENTIVA 8 mg, comprimé
gélule à libération prolongée;1;GALANTAMINE;GALANTAMINE KRKA LP 16 mg, gélule à libération prolongée
comprimé pelliculé;1;TOLTÉRODINE BASE;TOLTERODINE ACCORD 2 mg, comprimé pelliculé
comprimé enrobé;0;SPASMINE, comprimé enrobé
solution buvable;0;TRAMISAL, solution buvable
comprimé gastro-résistant(e);1;PANTOPRAZOLE;PANTOPRAZOLE ZENTIVA 40 mg, comprimé gastro-résistant
comprimé à libération prolongée;1;TAMSULOSINE;TAMSULOSINE EG LP 0,4 mg, comprimé à libération prolongée
gel;0;ARNICAGEL, gel
comprimé sécable;0;RAMIPRIL ALMUS 2,5 mg, comprimé sécable
comprimé;0;FENOFIBRATE RATIOPHARM 145 mg, comprimé
gélule;0;SULPIRIDE TEVA 50 mg, gélule
comprimé pelliculé;0;NORSET 15 mg, comprimé pelliculé
comprimé sécable;0;TEMESTA 2,5 mg, comprimé sécable
gel;1;DICLOFÉNAC SODIQUE;VOLTARENSPE 1%, gel
comprimé enrobé;0;CARLYTENE 30 mg, comprimé enrobé
comprimé pelliculé;1;ACÉBUTOLOL BASE;ACEBUTOLOL BIOGARAN 400 mg, comprimé pelliculé
suspension pour pulvérisation;0;BECLO-RHINO 50 microgrammes/dose, suspension pour pulvérisation nasale en flacon
comprimé pelliculé à libération prolongée;1;OXYCODONE;OXYCONTIN LP 60 mg, comprimé pelliculé à libération prolongée
poudre pour solution à diluer pour perfusion;1;CASPOFUNGINE BASE;CANCIDAS 70 mg, poudre pour solution à diluer pour perfusion
gélule gastro-résistant(e);0;LANSOPRAZOLE MYLAN PHARMA 30 mg, gélule gastro-résistante
comprimé;1;FLUOR ÉLÉMENT;ZYMAFLUOR 0,50 mg, comprimé
comprimé pelliculé sécable;0;CELIPROLOL RATIOPHARM 200 mg, comprimé pelliculé sécable
 comprimé et solution(s) et granules et poudre et pommade;0;CADMIUM METALLICUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
capsule molle;0;ACNETRAIT 40 mg, capsule molle
comprimé pelliculé;0;TRAMADOL/PARACETAMOL CRISTERS 37,5 mg/325 mg, comprimé pelliculé
crème;0;GLYCEROL/VASELINE/PARAFFINE ZENTIVA 15 %/8 %/2 %, crème
solution buvable;0;RECHOLAN 24,4 g/10,8 g, solution buvable
poudre et  solvant pour solution injectable;0;ALPROLIX 3000 UI, poudre et solvant pour solution injectable
comprimé dispersible ou à croquer;0;LAMOTRIGINE EG 200 mg, comprimé dispersible ou à croquer
comprimé pelliculé à libération prolongée;0;OXYCONTIN LP 20 mg, comprimé pelliculé à libération prolongée
solution buvable gouttes;0;PHOSPHONEUROS, solution buvable en gouttes
comprimé pelliculé à libération prolongée;1;FLUVASTATINE;FLUVASTATINE ARROW L.P. 80 mg, comprimé pelliculé à libération prolongée
poudre pour solution pour perfusion;1;CÉFUROXIME;CEFUROXIME MYLAN 1,5 g, poudre pour solution pour perfusion
 comprimé et solution(s) et granules et poudre et pommade;0;SANGUINARIA CANADENSIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;1;CEFPODOXIME;CEFPODOXIME BIOGARAN 100 mg, comprimé pelliculé
gélule;0;PREGABALINE PFIZER 200 mg, gélule
gélule;0;PREGABALINE MYLAN 100 mg, gélule
solution pour inhalation;0;BRICANYL 5 mg/2 ml, solution pour inhalation par nébuliseur en récipient unidose
comprimé sécable;0;PREDNISONE MYLAN 5 mg, comprimé sécable
solution injectable;0;DIAZEPAM RENAUDIN 10 mg/2 ml, solution injectable
comprimé;0;THIOCOLCHICOSIDE QUIVER 4 mg, comprimé
 comprimé et solution(s) et granules et poudre et pommade;0;HAMAMELIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution injectable pour perfusion;0;TRAMADOL ARROW 100 mg/2 mL, solution injectable/pour perfusion
comprimé enrobé;0;FENUGRENE, comprimé enrobé
 comprimé et solution(s) et granules et poudre et pommade;0;ARALIA RACEMOSA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
poudre pour suspension buvable;1;AMOXICILLINE ANHYDRE;AMOXICILLINE TEVA 250 mg/5 ml, poudre pour suspension buvable en flacon
comprimé pelliculé;0;IRBESARTAN/HYDROCHLOROTHIAZIDE BIOGARAN 300 mg/12,5 mg, comprimé pelliculé
capsule molle;0;TOCOLION, capsule molle
comprimé enrobé à libération prolongée;1;MORPHINE;MOSCONTIN 60 mg, comprimé enrobé à libération prolongée
solution buvable;0;LACTULOSE MYLAN PHARMA 10 g, solution buvable en sachet-dose
comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE ALMUS 40 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;0;CHELIDONIUM MAJUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;0;RAMIPRIL SANDOZ 1,25 mg, comprimé
comprimé pelliculé sécable;0;VALSARTAN RANBAXY 40 mg, comprimé pelliculé sécable
comprimé;0;ALLOPURINOL BIOGARAN 100 mg, comprimé
comprimé pelliculé;0;MOXONIDINE BIOGARAN 0,4 mg, comprimé pelliculé
comprimé;0;EZETIMIBE BIOGARAN 10 mg, comprimé
gélule;1;AMLODIPINE;AMLODIPINE RATIOPHARM 5 mg, gélule
gélule à libération prolongée;0;GALANTAMINE EG LP 8 mg, gélule à libération prolongée
gélule à libération prolongée;1;GALANTAMINE;REMINYL L.P. 24 mg, gélule à libération prolongée
comprimé sécable;0;FUROSEMIDE ZENTIVA 500 mg, comprimé sécable
dispositif;0;FENTANYL TEVA SANTE 100 microgrammes/heure, dispositif transdermique
comprimé sécable;0;FUROSEMIDE SANDOZ 40 mg, comprimé sécable
comprimé pelliculé;1;ROSUVASTATINE;ROSUVASTATINE SANDOZ 20 mg, comprimé pelliculé
gélule;1;FLUVASTATINE;FLUVASTATINE EVOLUGEN 20 mg, gélule
gélule;0;SPIROCTAN 50 mg, gélule
comprimé dispersible;0;CARBAGLU 200 mg, comprimé dispersible
gélule gastro-résistant(e);0;LANSOPRAZOLE MYLAN PHARMA 15 mg, gélule gastro-résistante
 comprimé et solution(s) et granules et poudre et pommade;0;CALCAREA IODATA LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
comprimé orodispersible;0;OLANZAPINE SANDOZ 5 mg, comprimé orodispersible
solution pour inhalation par nébuliseur;1;SALBUTAMOL;SALBUTAMOL MYLAN 5mg/2,5ml, solution pour inhalation par nébuliseur en récipient unidose
solution à diluer pour perfusion;0;DOCETAXEL ACCORD 160 mg/8 ml, solution à diluer pour perfusion
comprimé pelliculé;0;EPIVIR 150 mg, comprimé pelliculé
solution buvable;0;DESLORATADINE GNR 0,5 mg/ml, solution buvable
solution injectable ou à diluer pour perfusion;1;LÉVOBUPIVACAÏNE;CHIROCAÏNE 5 mg/ml, solution injectable ou solution à diluer pour perfusion
gélule;0;FENOFIBRATE TEVA 67 mg, gélule
poudre pour solution à diluer pour perfusion;0;SYLVANT 100 mg, poudre pour solution à diluer pour perfusion
gélule;0;PIROXICAM MYLAN 10 mg, gélule
comprimé pelliculé;1;FEXOFÉNADINE BASE;FEXOFENADINE TEVA 180 mg, comprimé pelliculé
solution injectable;1;GRANISÉTRON BASE;KYTRIL 3 mg/3 ml, solution injectable
solution buvable en gouttes;0;W149, solution buvable en gouttes
solution injectable;0;DOXORUBICINE TEVA 200 mg/100 ml, solution injectable
 comprimé et solution(s) et granules et poudre et pommade;0;SANGUINARIA CANADENSIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
poudre pour solution injectable pour perfusion ou buvable;0;TEICOPLANINE MYLAN 200 mg, poudre pour solution injectable/pour perfusion ou solution buvable
comprimé sécable;0;CAPTOPRIL HYDROCHLOROTHIAZIDE MYLAN 50 mg/25 mg, comprimé sécable
solution injectable;0;HEPARINE CHOAY 5000 UI/1 ml, solution injectable IV
comprimé pelliculé;1;LOSARTAN;LOSARTAN/HYDROCHLOROTHIAZIDE KRKA 50 mg/12,5 mg, comprimé pelliculé
comprimé pelliculé;1;VALGANCICLOVIR;VALGANCICLOVIR MYLAN 450 mg, comprimé pelliculé
solution à diluer pour perfusion;1;MITOXANTRONE BASE;MITOXANTRONE TEVA 25 mg/12,5 ml, solution à diluer pour perfusion
comprimé pelliculé;1;PIPÉRAQUINE (TÉTRAPHOSPHATE DE);EURARTESIM 320 mg/40 mg, comprimé pelliculé
solution à diluer pour perfusion;0;VIMIZIM 1 mg/ml, solution à diluer pour perfusion
gel;1;DICLOFÉNAC SODIQUE;FLECTOR 1 POUR CENT, gel
comprimé pelliculé;1;TÉNOFOVIR DISOPROXIL;EMTRICITABINE/TENOFOVIR DISOPROXIL ZENTIVA 200 mg/245 mg, comprimé pelliculé
comprimé effervescent(e) sécable;0;DAFALGAN CODEINE, comprimé effervescent sécable
gélule;0;SEDOPAL, gélule
comprimé pelliculé sécable;0;VALSARTAN ARROW GENERIQUES 80 mg, comprimé pelliculé sécable
gélule;0;NICERGOLINE BIOGARAN 10 mg, gélule
comprimé;1;RASAGILINE;RASAGILINE EG 1 mg, comprimé
solution injectable;1;ATOSIBAN;ATOSIBAN STRAGEN 6,75 mg/0,9 ml, solution injectable
comprimé pelliculé;1;GRANISÉTRON BASE;KYTRIL 1 mg, comprimé pelliculé
gélule;0;PREGABALINE MYLAN 25 mg, gélule
comprimé effervescent(e);0;ZUMALGIC 100 mg, comprimé effervescent
gel;0;ROZEX 0,75 %, gel
gomme à mâcher;1;NICOTINE;NICORETTE 4 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au sorbitol
 comprimé et solution(s) et granules et poudre et pommade;0;CALCAREA PHOSPHORICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
 comprimé et solution(s) et granules et poudre et pommade;0;APIUM DULCE BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé sécable;0;RAMIPRIL MYLAN 2,5 mg, comprimé sécable
suspension injectable;0;INFANRIXTETRA, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux acellulaire, poliomyélitique inactivé, adsorbé
comprimé;0;TABAPASS, comprimé sublingual
solution injectable pour perfusion;0;FOSCAVIR 6 g/250 ml, solution injectable pour perfusion en flacon
implant;0;ILUVIEN 190 microgrammes, implant intravitréen avec applicateur
comprimé pelliculé sécable;0;LEVETIRACETAM SANDOZ 500 mg, comprimé pellliculé sécable
gélule gastro-résistant(e);0;VIDEX 125 mg, gélule gastro-résistante
solution à diluer pour perfusion;0;LEVETIRACETAM ARROW 100 mg/ml, solution à diluer pour perfusion
solution buvable;1;LITHIUM;GRANIONS DE LITHIUM 1 mg/ 2 ml, solution buvable en ampoule
gélule;0;METHADONE AP-HP 10 mg, gélule
gel;0;POLYSILANE UPSA, gel oral en sachet-dose
solution injectable;0;FIASP 100 unités/ml, solution injectable en stylo prérempli
dispositif;0;MATRIFEN 75 microgrammes/heure, dispositif transdermique
comprimé pelliculé;0;CLARITHROMYCINE RANBAXY 250 mg, comprimé pelliculé
suspension buvable;0;LIKOZAM 1 mg/ml, suspension buvable
solution injectable;0;MEPIVACAINE B. BRAUN 20 mg/ml, solution injectable
solution injectable;0;MORPHINE (CHLORHYDRATE) RENAUDIN 40 mg/ml, solution injectable
comprimé pelliculé;0;IRBESARTAN ZENTIVA 300 mg, comprimé pelliculé
comprimé gastro-résistant(e);0;DICLOFENAC CRISTERS 50 mg, comprimé gastro-résistant
comprimé pelliculé;0;TADALAFIL EG 10 mg, comprimé pelliculé
comprimé;0;ARIPIPRAZOLE ZENTIVA 15 mg, comprimé
solution pour perfusion;0;ISOVOL 6 %, solution pour perfusion
gel pour application;0;BETADINE 10 POUR CENT, gel
dispositif;1;BÊTA-ESTRADIOL;DERMESTRIL SEPTEM 50 microgrammes/24 heures, dispositif transdermique
solution injectable;1;CHLORHYDRATE DE BUPIVACAÏNE ANHYDRE;BUPIVACAINE AGUETTANT 2,5 mg/ml, solution injectable
collyre en solution;0;CEBEMYXINE, collyre en solution
poudre pour inhalation;0;SYMBICORT TURBUHALER 400/12 microgrammes/dose, poudre pour inhalation
comprimé dispersible;1;AMOXICILLINE ANHYDRE;AMOXICILLINE EG 1 g, comprimé dispersible
comprimé orodispersible;0;OLANZAPINE ACTAVIS 20 mg, comprimé orodispersible
gélule;0;CELECOXIB TEVA 200 mg, gélule
poudre pour inhalation en gélule;0;FORMOTEROL BIOGARAN 12 microgrammes, poudre pour inhalation en gélule
collyre;0;MAXIDROL, collyre
comprimé sécable;0;LEVOTHYROX 150 microgrammes, comprimé sécable
poudre et  solvant pour solution injectable;0;OCTANATE 100 UI/ml, poudre et solvant pour solution injectable
lyophilisat et  solution pour usage parentéral;1;MÉTHYLPREDNISOLONE;SOLUMEDROL 20 mg/2 ml, lyophilisat et solution pour usage parentéral
comprimé pelliculé;0;BISOPROLOL ACCORD HEALTHCARE 10 mg, comprimé pelliculé sécable
 comprimé et solution(s) et granules et poudre et pommade;0;CYPRIPEDIUM PUBESCENS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
gélule;0;FENOFIBRATE RANBAXY 300 mg, gélule
poudre pour solution injectable;1;AMIKACINE;AMIKACINE MYLAN 500 mg, poudre pour solution injectable
poudre pour solution pour perfusion;1;CÉFUROXIME;CEFUROXIME PANPHARMA 1,5 g, poudre pour solution pour perfusion
comprimé pelliculé;1;CÉFIXIME ANHYDRE;CEFIXIME MYLAN PHARMA 200 mg, comprimé pelliculé
poudre et  solvant pour solution injectable;0;REFACTO AF 250 UI, poudre et solvant pour solution injectable en seringue préremplie
poudre pour solution pour perfusion ou buvable;1;VANCOMYCINE BASE;VANCOMYCINE MYLAN 500 mg, poudre pour solution à diluer pour perfusion ou pour solution buvable
comprimé sécable;0;CORTANCYL 20 mg, comprimé sécable
poudre et  solvant pour suspension injectable;1;CÉFUROXIME;ZINNAT 750 mg, poudre et solvant pour suspension injectable (I.M.)
solution buvable;0;DIHYDROERGOTAMINE AMDIPHARM 2 mg/ml, solution buvable
poudre pour solution à diluer pour perfusion;1;TOPOTÉCANE;TOPOTECAN KABI 1 mg/ml, poudre pour solution à diluer pour perfusion
gélule à libération prolongée;1;VENLAFAXINE;VENLAFAXINE ACTAVIS LP 37,5 mg, gélule à libération prolongée
comprimé gastro-résistant(e);0;RESITUNE 75 mg, comprimé gastro-résistant
solution injectable;0;CHLORURE DE SODIUM 0,9 POUR CENT B. BRAUN, solution injectable en ampoule
comprimé;0;TELMISARTAN ACTAVIS 80 mg, comprimé
granulés pour suspension buvable;1;JOSAMYCINE BASE;JOSACINE 500 mg/5 ml, granulés pour suspension buvable
comprimé;1;TÉRAZOSINE BASE;HYTRINE 1 mg, comprimé
gélule à libération prolongée;1;BENSÉRAZIDE BASE;MODOPAR L.P. 125 100 mg/25 mg, gélule à libération prolongée
solution pour bain de bouche;0;BUCCOSOIN, solution pour bain de bouche en flacon
émulsion pour perfusion;2;GLUCOSE ANHYDRE;LYSINE;OLIMEL N9E, émulsion pour perfusion
comprimé sécable;1;CARBIDOPA ANHYDRE;LEVODOPA CARBIDOPA TEVA 100 mg/10 mg, comprimé sécable
solution injectable;0;EFDEGE 1,0 GBq/mL, solution injectable
comprimé orodispersible;0;DONEPEZIL SANDOZ 5 mg, comprimé orodispersible
comprimé sécable;0;FUROSEMIDE ZYDUS 40 mg, comprimé sécable
comprimé pelliculé;0;SPIRAMYCINE METRONIDAZOLE GERDA 1,5 M.U.I./250 mg, comprimé pelliculé
comprimé pelliculé;0;LOSARTAN RANBAXY 100 mg, comprimé pelliculé
dispositif;0;FENTANYL BGR 75 microgrammes/heure, dispositif transdermique
comprimé pelliculé sécable;1;LÉVOFLOXACINE;LEVOFLOXACINE EG 500 mg, comprimé pelliculé sécable
comprimé;1;BUPRÉNORPHINE;SUBUTEX 0,4 mg, comprimé sublingual
comprimé;1;BUPRÉNORPHINE;BUPRENORPHINE CRISTERS 2 mg, comprimé sublingual
gélule;0;TEMOZOLOMIDE ACCORD 180 mg, gélule
comprimé pelliculé;0;SIMVASTATINE BIOGARAN 10 mg, comprimé pelliculé
comprimé;1;BUPRÉNORPHINE;BUPRENORPHINE EG 2 mg, comprimé sublingual
solution buvable;0;SUSTIVA 30 mg/ml, solution buvable
comprimé enrobé;1;CÉFUROXIME;CEFUROXIME MYLAN 125 mg, comprimé enrobé
comprimé pelliculé sécable à libération prolongée;0;VALPROATE DE SODIUM GNR L.P. 500 mg, comprimé pelliculé sécable à libération prolongée
poudre pour solution injectable ou pour perfusion;1;RÉMIFENTANIL BASE;REMIFENTANIL TEVA 5 mg, poudre pour solution injectable ou pour perfusion
poudre pour application;0;ECONAZOLE SANDOZ 1 POUR CENT, poudre pour application cutanée
comprimé;1;TRIMIPRAMINE BASE;SURMONTIL 25 mg, comprimé
capsule molle;0;DUTASTERIDE EG 0,5 mg, capsule molle
comprimé pelliculé;1;VALACICLOVIR;VALACICLOVIR PHR LAB 500 mg, comprimé pelliculé
comprimé;1;BUPRÉNORPHINE;BUPRENORPHINE MYLAN 2 mg, comprimé sublingual
comprimé à libération prolongée;0;CONCERTA LP 54 mg, comprimé à libération prolongée
comprimé pelliculé;1;RANITIDINE BASE;RANITIDINE MYLAN 300 mg, comprimé pelliculé
poudre pour solution injectable;1;CÉFÉPIME;CEFEPIME GERDA 2 g, poudre pour solution injectable (IV)
granulés;0;SULFUR FERRIER, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
solution injectable;0;NICARDIPINE ARROW 10 mg/10 ml, solution injectable
comprimé pelliculé sécable;1;TRIMIPRAMINE BASE;SURMONTIL 100 mg, comprimé pelliculé sécable
suspension injectable à libération prolongée;1;PALIPÉRIDONE;XEPLION 25 mg, suspension injectable à libération prolongée
collyre en solution;0;NUTRIVISC 5 POUR CENT, collyre en solution
 comprimé et solution(s) et granules et poudre et pommade;0;MURIATICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
poudre pour solution buvable et gastro-entérale;0;OXOGLURATE D'ORNITHINE CHIESI 5 g, poudre pour solution buvable et gastro-entérale en sachet-dose
pommade;0;POMMADE M.O. COCHON 50 %, pommade
comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE ACCORD 10 mg, comprimé pelliculé
comprimé pelliculé;1;ESCITALOPRAM;ESCITALOPRAM TEVA 20 mg, comprimé pelliculé sécable
comprimé pelliculé;0;NIMOTOP 30 mg, comprimé pelliculé
comprimé à croquer ou à sucer;2;CALCIUM ÉLÉMENT;CHOLÉCALCIFÉROL;CALCIUM VITAMINE D3 EG 500 mg/400 UI, comprimé à croquer ou à sucer
comprimé gastro-résistant(e);1;PANTOPRAZOLE;PANTOPRAZOLE MYLAN CONSEIL 20 mg, comprimé gastro-résistant
comprimé pelliculé sécable;1;PAROXÉTINE BASE;PAROXETINE ZYDUS 20 mg, comprimé pelliculé sécable
comprimé effervescent(e);0;ACETYLCYSTEINE ARROW 200 mg, comprimé effervescent
gel;1;DICLOFÉNAC SODIQUE;DICLOFENAC TEVA 1 %, gel
comprimé pelliculé;1;GRAZOPRÉVIR;ZEPATIER 50 mg/100 mg, comprimé pelliculé
éluat et  solution;1;SODIUM (PERTECHNÉTATE [99M TC] DE);DRYTEC, générateur de Molybdène [99 Mo]/Technétium [99m Tc]
suppositoire;0;OZOTHINE ENFANTS 30 mg, suppositoire
 comprimé et solution(s) et granules et poudre et pommade;0;CINERARIA MARITIMA LEHNING, degré de dilution compris entre 5CH et 30CH ou entre 10DH et 60DH
granulés pour solution buvable;1;FOSFOMYCINE;MONURIL ADULTES 3 g, granulés pour solution buvable en sachet
capsule molle;0;DUTASTERIDE ARROW 0,5 mg, capsule molle
suspension buvable;0;SMECTALIA 3 g, suspension buvable en sachet
collyre en solution;1;TIMOLOL BASE;TIMOLOL SANDOZ 0,10 POUR CENT, collyre en solution
ovule;0;FEMADEXIL 18,9 mg, ovule
comprimé sécable;0;FOSINOPRIL/HYDROCHLOROTHIAZIDE ARROW LAB 20 mg/12,5 mg, comprimé sécable
comprimé pelliculé sécable;0;LERCANIDIPINE EG 20 mg, comprimé pelliculé sécable
comprimé pelliculé sécable;0;SIMVASTATINE RATIOPHARM 10 mg, comprimé pelliculé sécable
gélule à libération prolongée;0;DILATRANE 100 mg, gélule à libération prolongée
gélule;0;ELUSANES VALERIANE 200 mg, gélule
solution injectable;0;AVONEX 30 microgrammes/0,5 ml, solution injectable, en stylo prérempli
poudre pour suspension buvable;0;NORVIR 100 mg, poudre pour suspension buvable
solution injectable;0;CHLORHYDRATE DE METOCLOPRAMIDE RENAUDIN 20 mg/ml, solution injectable
comprimé pelliculé;1;MÉMANTINE;MEMANTINE HCS 20 mg, comprimé pelliculé
solution injectable pour perfusion;1;CISATRACURIUM;CISATRACURIUM ACCORD 5 mg/ml, solution injectable/pour perfusion
comprimé pelliculé à libération prolongée;0;PENTOXIFYLLINE TEVA L.P. 400 mg, comprimé pelliculé à libération prolongée
gélule;1;CLINDAMYCINE BASE;DALACINE 300 mg, gélule
gélule à libération modifiée;1;MÉTHYLPHÉNIDATE;MEDIKINET 30 mg, gélule à libération modifiée
comprimé pelliculé sécable;0;VALSARTAN TEVA 160 mg, comprimé pelliculé
solution buvable;0;CONTRAMAL 100 mg/ml, solution buvable
poudre pour solution injectable;1;PIPÉRACILLINE;PIPERACILLINE PANPHARMA 2 g, poudre pour solution injectable (I.M., I.V.)
