1;PÉRINDOPRIL|1,669  mg;PERINDOPRIL KRKA 2 mg, comprimé
0;PASSEDYL ENFANTS ET NOURRISSONS, sirop
0;CONDYLINE 0,5 %, solution pour application cutanée
0;LEVETIRACETAM MYLAN 1000 mg, comprimé pelliculé
0;EXJADE 90 mg, comprimé pelliculé
0;ANASTROZOLE ZYDUS 1 mg, comprimé pelliculé
0;CHININUM ARSENICOSUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60 DH
0;CHLORMADINONE SANDOZ 10 mg, comprimé
0;FIBROVEIN 0,2 %, solution injectable
1;CUIVRE|0,031 mg;OLIGOSTIM CUIVRE OR ARGENT, comprimé
0;FENTANYL ARROW 75 microgrammes/heure, dispositif transdermique
0;ADVILGEL 5 %, gel
0;SANTANE N9, mélange de plantes pour tisane en sachet-dose
0;PACLITAXEL ARROW 6 mg/ml, solution à diluer pour perfusion
1;RÉMIFENTANIL BASE|5 mg;REMIFENTANIL ARROW 5 mg, poudre pour solution injectable/pour perfusion
0;SOTALOL MYLAN 160 mg, comprimé sécable
1;AMOXICILLINE ANHYDRE|250,00 mg;AMOXICILLINE MYLAN 250 mg/5 ml, poudre pour suspension buvable
0;PREGABALINE ZENTIVA K.S. 50 mg, gélule
0;ADRENALINUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;TIORFAN 100 mg, gélule
0;RISPERIDONE TEVA 1 mg, comprimé orodispersible
1;OCTRÉOTIDE|30 mg;SANDOSTATINE L.P. 30 mg, poudre et solvant pour suspension injectable
1;PASIRÉOTIDE|40 mg;SIGNIFOR 40 mg, poudre et solvant pour suspension injectable
1;NALOXÉGOL|25 mg;MOVENTIG 25 mg, comprimé pelliculé
0;AMISULPRIDE SANDOZ 400 mg, comprimé pelliculé sécable
1;CHLORE ACTIF|0,500 g;DAKIN COOPER STABILISE, solution pour application locale en flacon
0;FLUCONAZOLE BIOGARAN 10 mg/ml, poudre pour suspension buvable
0;LEFLUNOMIDE MYLAN 20 mg, comprimé pelliculé
0;ALDYZINE, solution dentaire
1;TERBINAFINE|0,889 g;TERBINAFINE MYLAN 1%, crème
1;ROSUVASTATINE|10 mg;ROSUVASTATINE EG 10 mg, comprimé pelliculé
0;VITALOGINK 40 mg/ml, solution buvable
1;ROSUVASTATINE|5 mg;ROSUVASTATINE EG 5 mg, comprimé pelliculé
0;OXOMEMAZINE ZENTIVA LAB 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique
0;PRAVASTATINE EG 20 mg, comprimé pelliculé sécable
1;TOPOTÉCANE|1 mg;TOPOTECAN MEDAC 1 mg/ml, solution à diluer pour perfusion
0;LUTENYL 3,75 mg, comprimé
1;MITOXANTRONE BASE|10 mg;NOVANTRONE 10 mg/5 ml, solution à diluer pour perfusion
0;VASTEN 40 mg, comprimé
0;ALPRAZOLAM MYLAN 1 mg, comprimé sécable
0;ENBREL 50 mg, solution injectable en seringue pré-remplie
0;METHOTREXATE BELLON 2,5 mg, comprimé
1;ÉSOMÉPRAZOLE|40 mg;ESOMEPRAZOLE CRISTERS 40 mg, gélule gastro-résistante
0;CYCLAMEN EUROPAEUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;ETHINYLESTRADIOL/DROSPIRENONE CRISTERS 0,02 mg/3 mg, comprimé pelliculé
1;CEFPODOXIME|40 mg;CEFPODOXIME ARROW ENFANTS ET NOURRISSONS 40 mg/5 ml, poudre pour suspension buvable
0;CETORNAN 5 g, poudre pour solution buvable et solution entérale en sachet
1;DOXYCYCLINE BASE|100 mg;DOXYCYCLINE ARROW 100 mg, comprimé pelliculé
0;CETRARIA COMPLEXE N°61, solution buvable en gouttes
0;KALIUM NITRICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;ANAPEN 150 microgrammes/0,3 ml, solution injectable en seringue préremplie
0;FELDENE 20 mg, suppositoire
0;GLIMEPIRIDE ACCORD HEALTHCARE 2 mg, comprimé
0;ESMOCARD 2500 mg, poudre pour solution à diluer pour solution pour perfusion
0;EZETIMIBE MSD 10 mg, comprimé
0;NUREFLEX L.P. 300 mg, gélule à libération prolongée
0;MALARONE 250 mg/100 mg, comprimé pelliculé
0;HEXETIDINE BIOGARAN CONSEIL 0,1 %, solution pour bain de bouche
0;TRIATEC 10 mg, comprimé sécable
0;DYMISTA 137 microgrammes/50 microgrammes, suspension pour pulvérisation nasale
0;ELUSANES REINE DES PRES, gélule
0;CYPRIPEDIUM PUBESCENS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
0;RISPERIDONE RATIOPHARM 4 mg, comprimé pelliculé sécable
0;TOLUCOMBI 40 mg/12,5 mg, comprimé
0;ARNICAGEL, gel
1;MIDAZOLAM|2,5 mg;BUCCOLAM 2,5 mg, solution buccale
0;MILDAC 600 mg, comprimé enrobé
2;ACIDE ALENDRONIQUE|70 mg;CHOLÉCALCIFÉROL|140 microgrammes (5 600 UI);ACIDE ALENDRONIQUE/VITD3 SANDOZ 70 mg/5600 UI, comprimé
0;MYCOPHENOLATE MOFETIL ACCORD HEALTHCARE 250 mg, gélule
0;PLEGRIDY 125 microgrammes, solution injectable en seringue préremplie
0;BRONCHORECTINE AU CITRAL ENFANTS, suppositoire
1;PAROXÉTINE BASE|20 mg;PAROXETINE ARROW 20 mg, comprimé pelliculé sécable
0;HEPARINE SODIQUE PANPHARMA 5 000 UI/ml, solution injectable (I.V.)
0;MIANSERINE ZENTIVA 60 mg, comprimé pelliculé sécable
0;GRISEFULINE 250 mg, comprimé sécable
1;CEFTAZIDIME ANHYDRE|0,5 g;CEFTAZIDIME PANMEDICA ENFANTS ET NOURRISSONS 500 mg, poudre pour solution injectable
1;ACIDE ALENDRONIQUE|70 mg;ACIDE ALENDRONIQUE CRISTERS 70 mg, comprimé
1;METFORMINE BASE|663 mg;METFORMINE ARROW LAB 850 mg, comprimé pelliculé
1;MÉTHYLPHÉNIDATE|34,6 mg;MEDIKINET 40 mg, gélule à libération modifiée
1;CASPOFUNGINE BASE|50 mg;CANCIDAS 50 mg, poudre pour solution à diluer pour perfusion
1;CANGRÉLOR|50 mg;KENGREXAL 50 mg, poudre pour solution à diluer pour injection/perfusion
0;TROPHICREME 0,1 POUR CENT, crème vaginale
0;RHEOFLUX 3500 mg, poudre pour solution buvable en sachet-dose
0;ARKOGELULES HOUBLON, gélule
1;BÊTA-ESTRADIOL|0,585 mg;VIVELLEDOT 37,5 microgrammes/24 heures, dispositif transdermique
0;ARGENTUM METALLICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;MÉROPÉNEM ANHYDRE|1 g;MEROPENEM ARROW 1 g, poudre pour solution injectable/pour perfusion
0;TRANSACALM 100 mg, comprimé
1;ATORVASTATINE|20 mg;ATORVASTATINE RATIO 20 mg, comprimé pelliculé
0;PARACETAMOL MYLAN 500 mg, comprimé effervescent
0;TELFAST 120 mg, comprimé pelliculé
0;RESPREEZA 1000 mg, poudre et solvant pour solution injectable / perfusion
0;KARNODYL 5 mg/5 ml, solution injectable en ampoule
0;LECTIL 24 mg, comprimé
0;PRAVASTATINE PHR LAB 20 mg, comprimé sécable
0;CURARE BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
0;IMPORTAL ENFANTS 5 g, poudre orale en sachet
0;SULFARLEM 12,5 mg, comprimé enrobé
0;FEUILLE DE SAULE 40 g/100 g, emplâtre
0;ALLOPURINOL SET 300 mg, comprimé
0;RISPERIDONE ALMUS 4 mg, comprimé pelliculé sécable
0;AMMONIUM MURIATICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;CANDESARTAN MYLAN PHARMA 16 mg, comprimé sécable
0;DROSPIRENONE/ETHINYLESTRADIOL MYLAN 3 mg/0,03 mg, comprimé pelliculé
1;AZITHROMYCINE|250,0 mg;AZITHROMYCINE MYLAN 250 mg, comprimé pelliculé
0;STELARA 45 mg, solution injectable
1;FER|105 mg;FERO-GRAD VITAMINE C 500, comprimé enrobé
0;RAMIPRIL TEVA SANTE 2,5 mg, comprimé sécable
0;SANDIMMUN 100 mg, capsule molle
0;BISOPROLOL/HYDROCHLOROTHIAZIDE MYLAN PHARMA 2,5 mg/6,25 mg, comprimé pelliculé
2;CALCIUM ÉLÉMENT|500 mg;CHOLÉCALCIFÉROL|400 UI;IDEOS 500 mg/400 UI, comprimé à sucer ou à croquer
1;RIVASTIGMINE|6 mg;RIVASTIGMINE MYLAN 6 mg, gélule
1;CYSTÉAMINE|50 mg;CYSTAGON 50 mg, gélule
0;GLICLAZIDE ARROW 60 mg, comprimé à libération modifiée
0;TADALAFIL ACCORD 20 mg, comprimé pelliculé
0;PREGABALINE ZENTIVA 100 mg, gélule
0;SEVELAMER CARBONATE EG 800 mg, comprimé pelliculé
1;LÉVOCABASTINE|0,05 g;LEVOFREE 0,05 %, collyre en solution en récipient unidose
1;AMOXICILLINE ANHYDRE|500,00 mg;AMOXICILLINE RPG 500 mg/5 ml, poudre pour suspension buvable en flacon
0;GLICLAZIDE BGR 30 mg, comprimé à libération modifiée
0;OLANZAPINE CRISTERS 7,5 mg, comprimé enrobé
0;EAU POUR PREPARATIONS INJECTABLES PROAMP, solvant pour préparation parentérale
0;GESTODENE/ETHINYLESTRADIOL TEVA 75 microgrammes /30 microgrammes, comprimé enrobé
0;RISPERIDONE SANDOZ 0,5 mg, comprimé orodispersible
1;FENTANYL|133 microgrammes;RECIVIT 133 microgrammes, comprimé sublingual
1;PÉRINDOPRIL|3,408 mg;PERINDOPRIL TOSILATE/INDAPAMIDE TEVA 5 mg/1,25 mg, comprimé pelliculé sécable
1;IODE|350,00 mg;OMNIPAQUE 350 mg d'I/mL, solution injectable
1;ÉSOMÉPRAZOLE|40 mg;ESOMEPRAZOLE EVOLUGEN 40 mg, comprimé gastro-résistant
0;TEMODAL 140 mg, gélule
0;ZYMAD 80 000 UI, solution buvable en ampoule
1;FENTANYL|200 microgrammes;INSTANYL 200 microgrammes/dose, solution pour pulvérisation nasale
0;SPIRONOLACTONE ZENTIVA 25 mg, comprimé pelliculé sécable
0;OXOMEMAZINE H2 PHARMA 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique
0;LERCANIDIPINE CRISTERS 10 mg, comprimé pelliculé sécable
0;OLANZAPINE ACTAVIS 5 mg, comprimé pelliculé
1;PANTOPRAZOLE|40 mg;PANTOPRAZOLE ARROW 40 mg, poudre pour solution injectable (IV)
0;LEVIDCEN 250 mg, granulés enrobés en sachet
1;LACTULOSE|50 g;LACTULOSE BIOGARAN 66,5%, solution buvable
3;GLUCOSE ANHYDRE|25 g;LYSINE|0,36 g;CYSTÉINE|0,07 g;PEDIAVEN AP-HP NOUVEAU-NE 2, solution pour perfusion
0;ALGINATE DE SODIUM/BICARBONATE DE SODIUM BGR 500 mg/267 mg pour 10 ml, suspension buvable en sachet
1;NÉBIVOLOL BASE|5 mg;NEBIVOLOL BIOGARAN 5 mg, comprimé quadrisécable
0;GENOTONORM 5,3 mg, poudre et solvant pour solution injectable
0;DIOSMINE MYLAN 600 mg, comprimé
0;INTRONA 18 millions d'UI/3 ml, solution injectable ou pour perfusion
0;DEPAKINE 200 mg, comprimé gastro-résistant
0;LOCALONE, lotion
0;PARACETAMOL EG 500 mg, comprimé effervescent
0;RISPERIDONE SANDOZ 2 mg, comprimé orodispersible
0;TELMISARTAN/HYDROCHLOROTHIAZIDE ZENTIVA 80 mg/12,5 mg, comprimé
0;SOTALOL ARROW 160 mg, comprimé sécable
1;GOSÉRÉLINE BASE|10,8 mg;ZOLADEX 10,8 mg, implant en seringue préremplie pour voie sous-cutanée
0;DILTIAZEM BGR LP 300 mg, gélule à libération prolongée
0;GLYCEROL/VASELINE/PARAFFINE BIOGARAN 15 %/8 %/2 %, crème
0;DEXPANTHENOL BAILLEUL 5 %, pommade
0;RADIOGARDASE 500 mg, gélule
0;LAMOTRIGINE MYLAN 25 mg, comprimé dispersible
1;CLINDAMYCINE BASE|150 mg;DALACINE 150 mg, gélule
0;ACIDE ZOLEDRONIQUE MYLAN 4 mg/100 ml, solution pour perfusion
1;THÉOPHYLLINE ANHYDRE|200 mg;THEOSTAT 200 mg A LIBERATION PROLONGEE, comprimé sécable
1;SAXAGLIPTINE|2,5 mg;KOMBOGLYZE 2,5 mg/1000 mg, comprimé pelliculé
1;PREDNISOLONE|20 mg;PREDNISOLONE MYLAN 20 mg, comprimé orodispersible
2;PIPÉRACILLINE|4,0 g;TAZOBACTAM|0,5 g;PIPERACILLINE TAZOBACTAM MYLAN 4 g/0,5 g, poudre pour solution pour perfusion
1;RISÉDRONATE MONOSODIQUE ANHYDRE|75 mg équivalent à 69,6 mg d'acide risédronique;RISEDRONATE PHR LAB 75 mg, comprimé pelliculé
1;VALACICLOVIR|500 mg;VALACICLOVIR ARROW 500 mg, comprimé pelliculé sécable
1;IMATINIB|100 mg;IMATINIB RANBAXY 100 mg, comprimé pelliculé
0;CEFALINE HAUTH 500mg/50mg, poudre orale en sachet
0;PEPSANE, gel buvable en sachet-dose
1;ÉSOMÉPRAZOLE|20 mg;ESOMEPRAZOLE CRISTERS 20 mg, gélule gastro-résistante
0;UN-ALFA 1 microgramme/0,5 ml, solution injectable IV en ampoule
1;ATORVASTATINE|40 mg;ATORVASTATINE EVOLUGEN PHARMA 40 mg, comprimé pelliculé
0;SEVELAMER CARBONATE SANDOZ 800 mg, comprimé pelliculé
0;ATARAX 25 mg, comprimé pelliculé sécable
1;RANITIDINE BASE|150 mg;RANITIDINE ARROW 150 mg, comprimé effervescent
0;CALCAREA SULFURICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;SPIRAMYCINE/METRONIDAZOLE ZYDUS 1,5 M.U.I./250 mg, comprimé pelliculé
0;LERCANIDIPINE TEVA 10 mg, comprimé pelliculé sécable
1;AMLODIPINE|5 mg;NATRIXAM 1,5 mg/5 mg, comprimé à libération modifiée
0;TADALAFIL MYLAN 5 mg, comprimé pelliculé
0;LYSOPAÏNE MAUX DE GORGE AMBROXOL CASSIS 20 mg SANS SUCRE, pastille édulcorée au sorbitol et au sucralose
1;ADRÉNALINE|0,009 mg;ARTICADENT 1/200 000, solution injectable à usage dentaire
0;DERMOVAL, gel
0;ACICLOVIR CRISTERS 5 %, crème
0;FLUORICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;PERLEANE, comprimé enrobé
1;ESCITALOPRAM|15 mg;SEROPLEX 15 mg, comprimé pelliculé sécable
0;OZOTHINE ADULTES 60 mg, suppositoire
1;PRUCALOPRIDE|1 mg;RESOLOR 1 mg, comprimé pelliculé
0;NPLATE 500 microgrammes, poudre et solvant pour solution injectable
0;PARACETAMOL TEVA 1000 mg, poudre pour solution buvable en sachet-dose
0;PRISMASOL 2 mmol/l POTASSIUM, solution pour hémofiltration et hémodialyse
0;ENALAPRIL/HYDROCHLOROTHIAZIDE RPG 20 mg/12,5 mg, comprimé sécable
1;FÉSOTÉRODINE|3,1 mg;TOVIAZ 4 mg, comprimé à libération prolongée
1;METFORMINE BASE|390 mg;METFORMINE ARROW 500 mg, comprimé pelliculé
0;DULCAMARA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;RAMIPRIL/HYDROCHLOROTHIAZIDE EG 5 mg/12,5 mg, comprimé
1;AMBROXOL BASE|27,3 mg;AMBROXOL MYLAN 30 mg, comprimé
0;RAMIPRIL ARROW GENERIQUES 1,25 mg, comprimé
0;MOXONIDINE EG 0,4 mg, comprimé pelliculé
0;MICROVAL, comprimé enrobé
1;LÉVOFLOXACINE|500 mg;LEVOFLOXACINE ACCORD HEALTHCARE 500 mg, comprimé pelliculé sécable
0;SOLIAN 400 mg, comprimé pelliculé sécable
1;ÉSOMÉPRAZOLE|20 mg;NEXIUM CONTROL 20 mg, comprimé gastro-résistant
1;CÉFUROXIME|250 mg;CEFUROXIME CRISTERS 250 mg, comprimé pelliculé
0;MOVICOL ENFANTS, poudre pour solution buvable en sachet-dose
0;ELOXATINE 5 mg/ml, solution à diluer pour perfusion
0;NICORANDIL BIOGARAN 10 mg, comprimé sécable
1;IVABRADINE|5 mg;IVABRADINE ZYDUS 5 mg, comprimé pelliculé
0;DOMPERIDONE ZENTIVA 10 mg, comprimé orodispersible
0;FENTANYL ARROW 25 microgrammes/heure, dispositif transdermique
1;FLUVASTATINE|40 mg;FLUVASTATINE ARROW 40 mg, gélule
1;PAROXÉTINE BASE|20 mg;PAROXETINE SANDOZ 20 mg, comprimé pelliculé sécable
1;ESCITALOPRAM|15 mg;ESCITALOPRAM BIOGARAN 15 mg, comprimé pelliculé sécable
0;LYSO 6, comprimé sublingual
1;TÉRAZOSINE BASE|1 mg;HYTRINE 1 mg, comprimé
0;PRITOR 80 mg, comprimé
0;NOVOSEVEN 5 mg (250 KUI), poudre et solvant pour solution injectable
0;ASPRO 500 mg VITAMINE C EFFERVESCENT, comprimé effervescent
0;ANAFRANIL 75 mg, comprimé pelliculé sécable
2;ADRÉNALINE|0,0170 mg;ARTICAÏNE BASE|60,2800 mg;UBISTESIN ADRENALINEE au 1/100 000, solution injectable
1;DICLOFÉNAC SODIQUE|50 mg;FLECTOR 50 mg, granulés pour solution buvable en sachet-dose
1;RASAGILINE|1 mg;AZILECT 1 mg, comprimé
1;AZITHROMYCINE|250 mg;AZITHROMYCINE MONODOSE SANDOZ 250 mg, comprimé pelliculé
0;LATANOPROST PFIZER 50 microgrammes/ml, collyre en solution
0;SETOFILM 4 mg, film orodispersible
0;TRAMADOL CRISTERS LP 100 mg, comprimé pelliculé à libération prolongée
2;CLAVULANIQUE (ACIDE)|0,200 g;TICARCILLINE BASE|3,000 g;CLAVENTIN 3 g/200 mg, poudre pour solution injectable (I.V.)
0;SELOKEN 100 mg, comprimé sécable
0;MADECASSOL 10 mg, comprimé
0;KIDROLASE 10 000 U.I., poudre et solvant pour solution injectable
0;NEVIRAPINE SANDOZ 200 mg, comprimé
0;MERCURIUS PROTO-IODATUS BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
0;ECONAZOLE RPG 1 POUR CENT, poudre pour application cutanée
1;ADRÉNALINE|0,010 mg;SEPTANEST 40 mg/ml ADRENALINEE AU 1/100 000, solution injectable à usage dentaire
1;GALANTAMINE|16 mg;GALANTAMINE KRKA LP 16 mg, gélule à libération prolongée
0;IBUPROFENE ZENTIVA 400 mg, comprimé pelliculé
0;METOJECT 15 mg/0,30 ml, solution injectable en stylo prérempli
0;ISOPTO PILOCARPINE 2 POUR CENT, collyre
1;SÉLÉNIUM|100 microgrammes;SELENIUM OLIGOSOL 100 microgrammes/2 ml, solution buvable en ampoule
0;PHENERGAN 2 POUR CENT, crème
0;SARGENOR A LA VITAMINE C, comprimé effervescent
1;ACIDE ZOLÉDRONIQUE ANHYDRE|5 mg;ACIDE ZOLEDRONIQUE TEVA PHARMA 5 mg, solution pour perfusion en flacon
0;CLARITHROMYCINE RATIOPHARM 250 mg, comprimé pelliculé
0;LANSOPRAZOLE BGR 30 mg, gélule gastro-résistante
0;BEMFOLA 75 UI/0,125 ml, solution injectable en stylo prérempli
0;APOKINON 10 mg/ml, solution injectable (S.C.)
1;CITALOPRAM BASE|20,00 mg;CITALOPRAM RANBAXY 20 mg, comprimé pelliculé sécable
0;OLANZAPINE MYLAN 7,5 mg, comprimé pelliculé
0;PARACETAMOL TEVA SANTE 1000 mg, comprimé effervescent sécable
1;METFORMINE BASE|390 mg;METFORMINE SANDOZ 500 mg, comprimé pelliculé
0;CHLORURE DE SODIUM A 0,9 % B. BRAUN, solution pour perfusion en poche
0;IODURE [131 I] DE SODIUM CIS BIO INTERNATIONAL 111 MBq/mL, solution injectable
0;NORMACOL LAVEMENT ENFANTS, solution rectale, récipient unidose
0;THUYA OCCIDENTALIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;MOPRAL 10 mg, gélule gastro-résistante
0;SPORTENINE, comprimé à croquer
1;QUÉTIAPINE|300 mg;QUETIAPINE ARROW LP 300 mg, comprimé à libération prolongée
1;OXYCODONE|4,50 mg;OXYNORMORO 5 mg, comprimé orodispersible
1;OXYDE D'ALUMINIUM|230 mg;MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM 460 mg/400 mg, suspension buvable en sachet
1;AMLODIPINE|5 mg;AMLODIPINE ARROW 5 mg, gélule
0;LIDOCAÏNE GRÜNENTHAL 700 mg, emplâtre médicamenteux
0;TRAMADOL ZENTIVA LP 100 mg, comprimé à libération prolongée
0;FENOFIBRATE MYLAN 160 mg, comprimé pelliculé
2;CLAVULANIQUE (ACIDE)|12,5 mg;AMOXICILLINE ANHYDRE|100 mg;AMOXICILLINE/ACIDE CLAVULANIQUE TEVA 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
1;ACIDE RISÉDRONIQUE|69,6 mg;RISEDRONATE BGR 75 mg, comprimé pelliculé
1;FEXOFÉNADINE BASE|112 mg;FEXOFENADINE BIOGARAN 120 mg, comprimé pelliculé
0;METOPROLOL ACCORD 100 mg, comprimé sécable
0;MIANSERINE CRISTERS 30 mg, comprimé pelliculé sécable
0;RISPERIDONE RATIOPHARM 1 mg, comprimé orodispersible
0;PREGABALINE SANDOZ 100 mg, gélule
0;MORPHINE (CHLORHYDRATE) RENAUDIN 20 mg/ml, solution injectable
0;DAONIL 5 mg, comprimé sécable
1;FER|20 mg;VENOFER 20 mg/ml, solution injectable (IV)
1;PÉRINDOPRIL|6,676 mg;PERINDOPRIL ARROW GENERIQUES 8 mg, comprimé
0;BISOPROLOL/HYDROCHLOROTHIAZIDE CRISTERS 10 mg/6,25 mg, comprimé pelliculé
1;ROPINIROLE|0,25 mg;ROPINIROLE ARROW GENERIQUES 0,25 mg, comprimé pelliculé
0;VALSARTAN HYDROCHLOROTHIAZIDE BIOGARAN 160 mg/25 mg, comprimé pelliculé
0;LETROZOLE SANDOZ 2.5 mg, comprimé pelliculé
1;CÉFIXIME ANHYDRE|0,80 g;OROKEN ENFANTS 100 mg/5 ml, poudre pour suspension buvable en flacon
0;TEMODAL 250 mg, gélule
0;BELARACONTINU 0,03 mg/2 mg, comprimé pelliculé
1;TACROLIMUS ANHYDRE|0,2 mg;MODIGRAF 0,2 mg, granulés pour suspension buvable
0;TIANEPTINE MYLAN PHARMA 12,5 mg, comprimé enrobé
1;RANITIDINE BASE|300 mg;RANITIDINE RATIOPHARM 300 mg, comprimé effervescent
0;ALLOPURINOL CRISTERS 200 mg, comprimé
1;AMOXICILLINE ANHYDRE|500,00 mg;AMOXICILLINE SANDOZ 500 mg/5 ml, poudre pour suspension buvable
1;DONÉPÉZIL BASE|9,12 mg;DONEPEZIL MYLAN 10 mg, comprimé orodispersible
0;MOLSIDOMINE TEVA 4 mg, comprimé sécable
0;OLANZAPINE ARROW GENERIQUES 5 mg, comprimé orodispersible
1;AMOROLFINE BASE|5 g;AMOROLFINE SANDOZ 5%, vernis à ongles médicamenteux
1;ÉPOPROSTÉNOL|0,500 mg;FLOLAN 0,5 mg, poudre et solvant pour solution pour perfusion
1;ACIDE ZOLÉDRONIQUE ANHYDRE|4 mg;ACIDE ZOLEDRONIQUE MEDAC 4 mg/100 ml, solution pour perfusion
0;BICALUTAMIDE ZYDUS FRANCE 50 mg, comprimé pelliculé
0;ARKOGELULES AUBEPINE, gélule
0;METEOSPASMYL, capsule molle
0;EOSINE AQUEUSE GIFRER ET BARBEZAT A 2 POUR CENT, solution pour application locale
0;VASTAREL 20 mg, comprimé pelliculé
0;PROTHIADEN 25 mg, gélule
0;ARTHROCINE 200 mg, comprimé sécable
1;ATORVASTATINE|10,00 mg;TAHOR 10 mg, comprimé pelliculé
2;CLAVULANIQUE (ACIDE)|200 mg;AMOXICILLINE ANHYDRE|2 g;AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA 2 g/200 mg ADULTES, poudre pour solution injectable
0;ATOVAQUONE/PROGUANIL ZENTIVA 62,5 mg/25 mg ENFANTS, comprimé pelliculé
1;NÉBIVOLOL BASE|5 mg;NEBILOX 5 mg, comprimé quadrisécable
2;INDACATÉROL|110 microgrammes;GLYCOPYRRONIUM|50 microgrammes;ULTIBRO BREEZHALER 85 microgrammes/43 microgrammes, poudre pour inhalation en gélule
0;ORLISTAT EG 120 mg, gélule
0;FLUCONAZOLE ZENTIVA 50 mg, gélule
1;ZOFÉNOPRIL|57,3 mg;TEOULA 60 mg, comprimé pelliculé
0;NEXPLANON 68 mg, implant pour usage sous-cutané
1;MONTÉLUKAST|4 mg;MONTELUKAST ARROW 4 mg, granulés en sachet-dose
0;SPIRAMYCINE TEVA 3 M.U.I., comprimé pelliculé
0;LAMOTRIGINE TEVA 5 mg, comprimé dispersible ou à croquer
0;LIORESAL 0,05 mg/1 ml, solution injectable par voie intrathécale en ampoule
0;MYCOSTER 1%, solution pour application cutanée
0;RISPERDAL 4 mg, comprimé pelliculé
0;ALAIRGIX ALLERGIE CETIRIZINE 10 mg, comprimé à sucer sécable
1;OXYCODONE|9 mg;OXYCODONE EG LP 10 mg, comprimé pelliculé à libération prolongée
1;NARATRIPTAN|2,5 mg;NARATRIPTAN SANDOZ 2,5 mg, comprimé pelliculé
0;GLIADEL 7,7 mg, implant
1;ESCITALOPRAM|5 mg;ESCITALOPRAM SANDOZ 5 mg, comprimé pelliculé
1;CISATRACURIUM|2 mg;CISATRACURIUM ACCORD 2 mg/ml, solution injectable/pour perfusion
0;PROPRANOLOL TEVA L P 160 mg, gélule à libération prolongée
0;HELIKIT 75 mg, poudre pour solution buvable
1;ÉSOMÉPRAZOLE|20 mg;ESOMEPRAZOLE MYLAN CONSEIL 20 mg, gélule gastro-résistante
1;QUÉTIAPINE|300 mg;QUETIAPINE EG LP 300 mg, comprimé à libération prolongée
1;CÉFADROXIL|1 g;ORACEFAL 1 g, comprimé dispersible
0;MIACALCIC 50 U.I./1 ml, solution injectable ou pour perfusion
0;BISACODYL EG LABO CONSEIL 5 mg, comprimé enrobé gastro-résistant
0;TEGRETOL 200 mg, comprimé sécable
0;GLUCONATE DE CHLORHEXIDINE DEXO 0,11 POUR CENT, collutoire en flacon pressurisé
0;ATOVAQUONE/PROGUANIL BIOGARAN 62,5 mg/25 mg ENFANTS, comprimé pelliculé
0;DIHYDROERGOTAMINE AMDIPHARM 3 mg, comprimé
0;ALLOPURINOL CRISTERS 100 mg, comprimé
0;SARGENOR SANS SUCRE 1 g, comprimé effervescent édulcoré à la saccharine sodique
1;PÉRINDOPRIL|6,676 mg;PERINDOPRIL ACTAVIS 8 mg, comprimé
0;EPIRUBICINE EG 2 mg/ml, solution pour perfusion
0;LASILIX 20 mg/2 ml, solution injectable en ampoule
1;BÊTA-ESTRADIOL|1,56 mg;VIVELLEDOT 100 microgrammes/24 heures, dispositif transdermique
0;OXYBUTYNINE ACCORD 5 mg, comprimé sécable
1;ESCITALOPRAM|10 mg;ESCITALOPRAM BROWN & BURK 10 mg, comprimé pelliculé sécable
1;OXACILLINE BASE|1 g;BRISTOPEN 1 g/5 ml, poudre et solvant pour solution injectable (IV)
1;SAQUINAVIR|500 mg;INVIRASE 500 mg, comprimé pelliculé
0;LOSARTAN TORRENT 100 mg, comprimé pelliculé sécable
0;GABAPENTINE ARROW 100 mg, gélule
1;AMOXICILLINE ANHYDRE|1000 mg;CLAMOXYL 1 g, poudre et solvant pour solution injectable (I.M.)
0;JOUVENCE DE L'ABBE SOURY, comprimé pelliculé
