comprimé sécable;1;PROPRANOLOL (CHLORHYDRATE DE);PROPRANOLOL TEVA 40 mg, comprimé sécable
comprimé pelliculé;1;CHLORHYDRATE DE MAPROTILINE;LUDIOMIL 75 mg, comprimé pelliculé
solution buvable;1;CODÉINE (PHOSPHATE DE) HÉMIHYDRATÉ;CODEDRILL SANS SUCRE 0,1 POUR CENT, solution buvable édulcorée à la saccharine
comprimé;2;PÉRINDOPRIL TERT-BUTYLAMINE;BÉSILATE D'AMLODIPINE;PERINDOPRIL/AMLODIPINE HCS 4 mg/5 mg, comprimé
solution injectable pour perfusion;1;CHLORHYDRATE D'ÉPIRUBICINE;EPIRUBICINE TEVA CLASSICS 2 mg/ml, solution injectable et pour perfusion
comprimé pelliculé sécable;1;CHLORHYDRATE DE LERCANIDIPINE;LERCANIDIPINE ZYDUS 20 mg, comprimé pelliculé sécable
émulsion pour perfusion;21;LEUCINE;ISOLEUCINE;SÉRINE;TRYPTOPHANE L;GLUCOSE MONOHYDRATÉ;PROLINE;MÉTHIONINE;VALINE;TAURINE;HUILE D'OLIVE RAFFINÉE;HUILE DE POISSON RICHE EN ACIDES OMÉGA-3 ;THRÉONINE;ACÉTATE DE LYSINE;ARGININE;ALANINE;TYROSINE;TRIGLYCÉRIDES À CHAÎNE MOYENNE;HISTIDINE;PHÉNYLALANINE;GLYCINE;HUILE DE SOJA RAFFINÉE;SMOFKABIVEN PROTEINE, émulsion pour perfusion
solution injectable;1;IMMUNOGLOBULINE HUMAINE ANTI-D ;RHOPHYLAC 200 microgrammes/2 ml, solution injectable en seringue préremplie
poudre pour application;1;NITRATE D'ÉCONAZOLE;MYCOAPAISYL 1 POUR CENT, poudre pour application cutanée
solution;1;DINITRATE D'ISOSORBIDE;ISOCARD, solution sublinguale en flacon pulvérisateur
collyre en solution;2;CHLORHYDRATE DE DORZOLAMIDE;TIMOLOL (MALÉATE DE);DORZOLAMIDE/TIMOLOL TEVA 20 mg/ml + 5 mg/ml, collyre en solution
gélule;1;PRÉGABALINE;PREGABALINE EG 100 mg, gélule
gélule;1;CHLORHYDRATE DE MILNACIPRAN;IXEL 50 mg, gélule
comprimé;1;ACIDE FOLIQUE;SPINAFOL 400 microgrammes, comprimé
gélule;1;SALICAIRE (SOMMITÉ FLEURIE SÉCHÉE DE) (EXTRAIT SEC DE);ELUSANES SALICAIRE 200 mg, gélule
comprimé dispersible;1;LAMOTRIGINE;LAMOTRIGINE BIOGARAN 100 mg, comprimé dispersible
granules et  solution en gouttes en gouttes;1;COCCULUS INDICUS POUR PRÉPARATIONS HOMÉOPATHIQUES;COCCULUS INDICUS WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
gélule;1;GABAPENTINE;GABAPENTINE ZYDUS 400 mg, gélule
poudre pour usage parentéral;2;SULBACTAM SODIQUE;AMPICILLINE SODIQUE;UNACIM INJECTABLE 0,5 g/1 g, poudre pour usage parentéral
collyre;1;CHLORURE DE CÉTYLPYRIDINIUM;NOVOPTINE 2,5 mg/10 ml, collyre en flacon
comprimé;1;PÉRINDOPRIL TERT-BUTYLAMINE;PERINDOPRIL KRKA 8 mg, comprimé
gélule gastro-résistant(e);1;ÉSOMÉPRAZOLE MAGNÉSIQUE DIHYDRATÉ;ESOMEPRAZOLE CRISTERS 20 mg, gélule gastro-résistante
gaz;1;MONOXYDE D'AZOTE;MONOXYDE D'AZOTE MESSER 800 PPM (V/V), gaz médicinal comprimé
poudre pour solution injectable ou pour perfusion;1;CHLORHYDRATE DE RÉMIFENTANIL;ULTIVA 5 mg, poudre pour solution injectable ou pour perfusion
comprimé;2;TRIMÉTHOPRIME;SULFAMÉTHOXAZOLE;COTRIMOXAZOLE TEVA 800 mg/160 mg, comprimé
comprimé sécable;1;ALPRAZOLAM;ALPRAZOLAM RPG 0,25 mg, comprimé sécable
comprimé sécable;1;MÉLOXICAM;MELOXICAM ZENTIVA 15 mg, comprimé sécable
solution injectable;1;CALCITONINE DE SAUMON;CALCITONINE PHARMY II 50 UI/1 ml, solution injectable
comprimé enrobé;1;IBUPROFÈNE;IBUPROFENE CRISTERS 200 mg, comprimé enrobé
éponge pour usage dentaire;1;MÉTRONIDAZOLE;METROGENE 4,5 mg, éponge pour usage dentaire
 comprimé et solution(s) et granules et poudre et pommade;1;HARPAGOPHYTUM POUR PRÉPARATIONS HOMÉOPATHIQUES;HARPAGOPHYTUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
suspension pour injection;1;CITRATE D'YTTRIUM [90 Y];CITRATE D'YTTRIUM [90 Y] CIS bio international, 37-370 MBq/mL, suspension pour injection intra-articulaire
poudre pour inhalation;1;DIPROPIONATE DE BÉCLOMÉTASONE;ASMABEC CLICKHALER 250 microgrammes/dose, poudre pour inhalation
comprimé;2;RAMIPRIL;HYDROCHLOROTHIAZIDE;RAMIPRIL/HYDROCHLOROTHIAZIDE EG 5 mg/12,5 mg, comprimé
comprimé pelliculé;1;ROSUVASTATINE CALCIQUE;ROSUVASTATINE MYLAN 20 mg, comprimé pelliculé
solution buvable;2;ACIDE MALIQUE;ARGININE;ROCMALINE, solution buvable, ampoules
gélule à libération prolongée;1;BROMHYDRATE DE GALANTAMINE;GALANTAMINE EG LP 8 mg, gélule à libération prolongée
comprimé pelliculé sécable;1;BÉNAZÉPRIL (CHLORHYDRATE DE);BENAZEPRIL ARROW 5 mg, comprimé pelliculé sécable
poudre et  dispersion et  solvant pour solution à diluer pour dispersion pour perfusion;1;CHLORHYDRATE DE DOXORUBICINE;MYOCET 50 mg, poudre, dispersion et solvant pour solution à diluer pour dispersion pour perfusion
comprimé sécable;1;PRAVASTATINE SODIQUE;PRAVASTATINE SANDOZ 20 mg, comprimé sécable
solution pour perfusion;1;BICARBONATE DE SODIUM;BICARBONATE DE SODIUM 4,2 % B. BRAUN, solution pour perfusion
comprimé pelliculé sécable;1;PROPÉRICIAZINE;NEULEPTIL 25 mg, comprimé pelliculé sécable
solution buvable;1;MORPHINE (SULFATE DE);ORAMORPH 30 mg/5 ml, solution buvable en récipient unidose
comprimé sécable;1;PARACÉTAMOL;PARACETAMOL RPG 1 g, comprimé sécable
comprimé;1;GLIMÉPIRIDE;GLIMEPIRIDE RATIO 2 mg, comprimé
comprimé gastro-résistant(e);1;PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ;PANTOPRAZOLE SANDOZ 40 mg, comprimé gastro-résistant
comprimé pelliculé;1;IBUPROFÈNE;IBUPROFENE TEVA SANTE 400 mg, comprimé pelliculé
comprimé;1;LÉVONORGESTREL;LEVONORGESTREL MYLAN 1,5 mg, comprimé
gel;1;DICLOFÉNAC DE DIÉTHYLAMINE;DICLOFENAC RANBAXY MEDICATION OFFICINALE 1 %, gel
comprimé pelliculé;1;CHLORHYDRATE DE ROPINIROLE;ADARTREL 0,25 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;1;CUPRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;CUPRUM METALLICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gélule;1;GABAPENTINE;GABAPENTINE MYLAN 300 mg, gélule
sirop;1;SODIUM (FÉRÉDÉTATE DE);FERROSTRANE 0,68 POUR CENT, sirop
comprimé;1;CITRATE DE FENTANYL;ACTIQ 200 microgrammes, comprimé avec applicateur buccal
suspension buvable;1;SUCRALFATE;ULCAR 1 g, suspension buvable en sachet
comprimé pelliculé;1;RIOCIGUAT;ADEMPAS 0,5 mg, comprimé pelliculé
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;LOSARTAN POTASSIQUE;LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 100 mg/12,5 mg, comprimé pelliculé
collyre en solution;1;HYDROCORTISONE (PHOSPHATE SODIQUE D');SOFTACORT 3,35 mg/ml, collyre en solution en récipient unidose
solution pour application;1;HYDROGÈNE (PEROXYDE D'), SOLUTION DE, À 3 POUR CENT;EAU OXYGENEE STABILISEE CODEX 10 VOLUMES GILBERT, solution pour application locale en flacon pulvérisateur
solution et  solution pour perfusion;35;ACÉTYLCYSTÉINE;PROLINE;DIOXYDE DE SÉLÉNIUM;CHLORURE DE MANGANÈSE TÉTRAHYDRATÉ;TAURINE;ACIDE GLUTAMIQUE;CHLORURE DE SODIUM;LYSINE MONOHYDRATÉE;FLUORURE DE SODIUM;AMMONIUM (MOLYBDATE D') TÉTRAHYDRATÉ;THRÉONINE;ASPARTIQUE (ACIDE);ALANINE;CHLORURE DE CHROME HEXAHYDRATÉ;LACTATE DE MAGNÉSIUM DIHYDRATÉ;HISTIDINE;PHÉNYLALANINE;LEUCINE;ISOLEUCINE;SÉRINE;TRYPTOPHANE L;GLUCOSE MONOHYDRATÉ;MÉTHIONINE;IODURE DE POTASSIUM;GLUCONATE DE CALCIUM;VALINE;SULFATE DE CUIVRE PENTAHYDRATÉ;CHLORURE DE POTASSIUM;COBALT (CHLORURE DE) HEXAHYDRATÉ;SULFATE FERREUX HEPTAHYDRATÉ;PHOSPHATE DIPOTASSIQUE;ACÉTATE DE ZINC DIHYDRATÉ;ARGININE;TYROSINE;GLYCINE;PEDIAVEN AP-HP G20, solution pour perfusion
solution pour application;1;HYDROGÈNE (PEROXYDE D'), SOLUTION DE, À 3 POUR CENT;EAU OXYGENEE 10 VOLUMES COOPER, solution pour application cutanée
gélule;1;CHLORHYDRATE DE LOPÉRAMIDE;INDIARAL 2 mg, gélule
comprimé;1;RAMIPRIL;RAMIPRIL EG 1,25 mg, comprimé
 crème et solution et granules et poudre;1;CINERARIA MARITIMA POUR PRÉPARATIONS HOMÉOPATHIQUES;CINERARIA MARITIMA WELEDA, degré de dilution compris entre 5CH et 30CH ou entre 10DH et 60DH
comprimé pelliculé;1;CITRATE DE SILDÉNAFIL;SILDENAFIL ACCORD 100 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;1;PASSIFLORA INCARNATA POUR PRÉPARATIONS HOMÉOPATHIQUES;PASSIFLORA INCARNATA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé à sucer;1;CARBONATE DE CALCIUM;CALCIPRAT 1000 mg, comprimé à sucer
solution injectable pour usage dentaire;2;ARTICAÏNE (CHLORHYDRATE D');TARTRATE D'ADRÉNALINE;PRIMACAINE ADRENALINE 1/200000, solution injectable à usage dentaire
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;IRBÉSARTAN;IRBESARTAN/HYDROCHLOROTHIAZIDE CRISTERS 150 mg/12,5 mg, comprimé pelliculé
solution injectable;1;BROMURE DE MÉTHYLNALTREXONE;RELISTOR 12 mg/0,6 ml, solution injectable
comprimé pelliculé;2;AMOXICILLINE TRIHYDRATÉE;CLAVULANATE DE POTASSIUM;AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA K.S 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique: 8/1)
comprimé pelliculé;1;ROSUVASTATINE CALCIQUE;ROSUVASTATINE SANDOZ 10 mg, comprimé pelliculé
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;VALSARTAN;VALSARTAN HYDROCHLOROTHIAZIDE BIOGARAN 160 mg/25 mg, comprimé pelliculé
gélule;1;PRÉGABALINE;PREGABALINE ZENTIVA K.S. 50 mg, gélule
comprimé pelliculé;1;CITRATE DE SILDÉNAFIL;SILDENAFIL CRISTERS 50 mg, comprimé pelliculé
sirop;1;BROMHYDRATE DE DEXTROMÉTHORPHANE;TUSSIDANE 1,5 mg/ml, sirop
gélule;1;CHLORHYDRATE DE MILNACIPRAN;MILNACIPRAN BIOGARAN 50 mg, gélule
dispositif;1;FENTANYL;FENTANYL ZENTIVA 75 microgrammes/heure, dispositif transdermique
comprimé pelliculé;3;PHOSPHATE DE TÉNOFOVIR DISOPROXIL;ÉFAVIRENZ;EMTRICITABINE;EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL ZENTIVA 600 mg/200 mg/245 mg, comprimé pelliculé
solution injectable;1;GLUCOSE MONOHYDRATÉ;GLUCOSE 30 % LAVOISIER, solution injectable en ampoule
comprimé enrobé;1;IBUPROFÈNE;ADVIL 400 mg, comprimé enrobé
suspension buvable;2;HYDROXYDE D'ALUMINIUM;HYDROXYDE DE MAGNÉSIUM;XOLAAM, suspension buvable en flacon
comprimé;1;RÉPAGLINIDE;REPAGLINIDE EVOLUGEN 2 mg, comprimé
solution buvable;1;MORPHINE (SULFATE DE);ORAMORPH 20 mg/1 ml, solution buvable
gélule gastro-résistant(e);1;OMÉPRAZOLE;OMEPRAZOLE BIOGARAN CONSEIL 20 mg, gélule gastro-résistante
comprimé sécable;2;HYDROCHLOROTHIAZIDE;LISINOPRIL DIHYDRATÉ;LISINOPRIL/HYDROCHLOROTHIAZIDE ARROW LAB 20 mg/12,5 mg, comprimé sécable
comprimé pelliculé;1;EXÉMESTANE;EXEMESTANE RATIO 25 mg, comprimé pelliculé
comprimé;2;PÉRINDOPRIL TERT-BUTYLAMINE;INDAPAMIDE;PERINDOPRIL/INDAPAMIDE KRKA 4 mg/1,25 mg, comprimé
gel;1;DICLOFÉNAC DE DIÉTHYLAMINE;DICLOFENAC TEVA CLASSICS 1 %, gel
comprimé;2;PÉRINDOPRIL TERT-BUTYLAMINE;INDAPAMIDE;PERINDOPRIL/INDAPAMIDE ZYDUS 4 mg/1,25 mg, comprimé
solution à diluer pour perfusion;1;NIVOLUMAB ;OPDIVO 10 mg/ml, solution a diluer pour perfusion
poudre pour usage parentéral;1;CÉFAZOLINE SODIQUE;CEFAZOLINE PANPHARMA 2 g/10 ml, poudre et solution pour usage parentéral (IV)
poudre pour solution pour perfusion;1;CHLORHYDRATE DE GEMCITABINE;GEMCITABINE KABI 38 mg/ml, poudre pour solution pour perfusion
granulés;1;IVACAFTOR;KALYDECO 50 mg, granulés en sachet
comprimé;2;RAMIPRIL;HYDROCHLOROTHIAZIDE;RAMIPRIL / HYDROCHLOROTHIAZIDE ZENTIVA 5 mg/12.5 mg, comprimé
comprimé pelliculé sécable;1;CHLORHYDRATE DE LERCANIDIPINE;LERCANIDIPINE TEVA 20 mg, comprimé pelliculé sécable
crème;1;PROPIONATE DE CLOBÉTASOL;CLARELUX 500 microgrammes/g, crème
comprimé pelliculé;1;TADALAFIL;TALMANCO 20 mg, comprimé pelliculé
gélule;1;PRÉGABALINE;PREGABALINE BIOGARAN 25 mg, gélule
comprimé;2;HYDROCHLOROTHIAZIDE;CANDÉSARTAN CILEXÉTIL;CANDESARTAN/HYDROCHLOROTHIAZIDE EVOLUGEN 16 mg/12,5 mg, comprimé
comprimé pelliculé;1;CHLORHYDRATE DE MIANSÉRINE;MIANSERINE RPG 10 mg, comprimé pelliculé
crème;2;LIDOCAÏNE;PRILOCAÏNE;ANESDERM 5 %, crème
comprimé pelliculé sécable;1;CARVÉDILOL;CARVEDILOL MYLAN 25 mg, comprimé pelliculé sécable
comprimé;1;ZINC (GLUCONATE DE);OLIGOSTIM ZINC, comprimé
comprimé;1;RÉPAGLINIDE;REPAGLINIDE ARROW 0,5 mg, comprimé
poudre pour solution buvable;1;PARACÉTAMOL;PARACETAMOL ARROW 300 mg, poudre pour solution buvable en sachet-dose
comprimé pelliculé;1;FAMOTIDINE;FAMOTIDINE MYLAN 40 mg, comprimé pelliculé
comprimé pelliculé sécable;1;CHLORHYDRATE DE METFORMINE;METFORMINE RATIOPHARM 1000 mg, comprimé pelliculé sécable
comprimé pelliculé sécable;1;OXALATE D'ESCITALOPRAM;ESCITALOPRAM ARROW 15 mg, comprimé pelliculé sécable
solution injectable;1;GOLIMUMAB ;SIMPONI 100 mg, solution injectable en stylo prérempli
solution buvable;1;LACTULOSE LIQUIDE;LACTULOSE BIPHAR 66,5 %, solution buvable
gel;1;KÉTOPROFÈNE;KETUM 2,5 POUR CENT, gel
poudre et  solvant pour solution injectable;1;CEFTRIAXONE SODIQUE;CEFTRIAXONE GNR 500 mg/2 ml, poudre et solvant pour solution injectable (IM, SC)
capsule molle;1;ISOTRÉTINOÏNE;CURACNE 20 mg, capsule molle
solution pour bain de bouche;2;CHLOROBUTANOL HÉMIHYDRATÉ;CHLORHEXIDINE (DIGLUCONATE DE), SOLUTION DE;BUCCOSOIN, solution pour bain de bouche en flacon
solution injectable;1;INSULINE ASPARTE ;NOVORAPID FLEXPEN 100 unités/ml, solution injectable en stylo prérempli
collyre en solution;1;CHLORHYDRATE DE PHÉNYLÉPHRINE;NEOSYNEPHRINE 10 % FAURE, collyre en solution
comprimé sécable;1;CHLORHYDRATE DE SOTALOL;SOTALOL RATIOPHARM 80 mg, comprimé sécable
comprimé;1;ÉZÉTIMIBE;EZETIMIBE MYLAN 10 mg, comprimé
comprimé pelliculé;1;CHLORHYDRATE D'ACÉBUTOLOL;ACEBUTOLOL MYLAN 400 mg, comprimé pelliculé
comprimé;1;OXAZÉPAM;SERESTA 10 mg, comprimé
comprimé pelliculé;1;IBUPROFÈNE;IBUPROFENE TEVA CONSEIL 400 mg, comprimé pelliculé
comprimé;1;DIOSMINE;MEDIVEINE 300 mg, comprimé
solution injectable;1;FUROSÉMIDE;FUROSEMIDE LAVOISIER 20 mg/2 ml, solution injectable (IM-IV)
 comprimé et solution(s) et granules et poudre et pommade;1;APIUM DULCE POUR PRÉPARATIONS HOMÉOPAHIQUES;APIUM DULCE BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;1;CITRATE DE SILDÉNAFIL;SILDENAFIL ARROW LAB 50 mg, comprimé pelliculé
solution injectable;1;CYANOCOBALAMINE;CYANOCOBALAMINE RENAUDIN 500 microgrammes/ml, solution injectable en ampoule (IM)
 comprimé et solution(s) et granules et poudre et pommade;1;AMMONIUM PHOSPHORICUM  POUR PRÉPARATIONS HOMÉOPATHIQUES;AMMONIUM PHOSPHORICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé quadrisécable;1;BROMAZÉPAM;BROMAZEPAM ZYDUS 6 mg, comprimé quadrisécable
comprimé enrobé;1;ACIDE PARA-AMINOBENZOÏQUE;PARAMINAN 500 mg, comprimé enrobé
poudre pour solution à diluer pour perfusion;1;DÉCITABINE;DACOGEN 50 mg, poudre pour solution à diluer pour perfusion
comprimé enrobé;1;FENUGREC (EXTRAIT SEC DE);FENUGRENE, comprimé enrobé
comprimé pelliculé;1;IBUPROFÈNE;IBUPROFENE RANBAXY MEDICATION OFFICINALE 200 mg, comprimé pelliculé
gélule;1;PRÉGABALINE;PREGABALINE ZENTIVA K.S. 150 mg, gélule
comprimé sécable;1;MALÉATE D'ÉNALAPRIL;ENALAPRIL SANDOZ 20 mg, comprimé sécable
comprimé pelliculé;1;TADALAFIL;TADALAFIL TEVA 20 mg, comprimé pelliculé sécable
comprimé;1;PRAMIPEXOLE (DICHLORHYDRATE DE) MONOHYDRATÉ;SIFROL 0,7 mg, comprimé
gélule gastro-résistant(e);1;LANSOPRAZOLE;LANSOPRAZOLE MYLAN 30 mg, gélule gastro-résistante
comprimé sécable;1;ATÉNOLOL;ATENOLOL BIOGARAN 50 mg, comprimé sécable
solution buvable;3;MANGANÈSE (GLUCONATE DE);CUIVRE (GLUCONATE DE);GLUCONATE FERREUX;TOT'HEMA, solution buvable en ampoule
comprimé pelliculé à libération prolongée;1;CHLORHYDRATE DE TRAMADOL;TRAMADOL MYLAN PHARMA LP 150 mg, comprimé pelliculé à libération prolongée
comprimé;1;CALCIUM (FLUORURE DE);FLUORURE DE CALCIUM CRINEX 0,25 mg, comprimé
comprimé pelliculé;1;CHLORHYDRATE DE CÉFOTIAM HEXÉTIL;TAKETIAM 200 mg, comprimé pelliculé
solution pour inhalation par nébuliseur;1;IPRATROPIUM (BROMURE D') MONOHYDRATÉ;IPRATROPIUM CRISTERS 0,50 mg/2 ml ADULTES, solution pour inhalation par nébuliseur en récipient unidose
solution pour bain de bouche;1;POVIDONE IODÉE;PREDYL 10 %, solution pour bain de bouche
solution injectable;1;HÉPARINE CALCIQUE;CALCIPARINE SOUS CUTANEE 25 000 UI/1 ml, solution injectable
gélule;1;CHLORHYDRATE DE LOPÉRAMIDE;LOPERAMIDE SANDOZ 2 mg, gélule
comprimé pelliculé sécable;1;TARTRATE DE ZOLPIDEM;ZOLPIDEM RPG 10 mg, comprimé pelliculé sécable
collyre en solution;1;EUPHRASIA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;EUPHRASIA 3DH WELEDA, collyre en solution en récipient unidose
poudre pour solution buvable;1;MACROGOL 4000;FORLAXLIB ADULTE 10 g, poudre pour solution buvable en sachet
gélule;1;PRÉGABALINE;PREGABALINE ARROW LAB 200 mg, gélule
poudre pour suspension buvable;1;AMOXICILLINE TRIHYDRATÉE;AMOXICILLINE SANDOZ 125 mg/5 ml, poudre pour suspension buvable
 comprimé et solution(s) et granules et poudre et pommade;1;MERCURIUS PROTO-IODATUS POUR PRÉPARATIONS HOMÉOPATHIQUES;MERCURIUS PROTO-IODATUS BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
comprimé sécable;2;HYDROCHLOROTHIAZIDE;MALÉATE D'ÉNALAPRIL;ENALAPRIL/HYDROCHLOROTHIAZIDE RATIOPHARM 20 mg/12,5 mg, comprimé sécable
poudre pour application;1;TRICLOCARBAN;CUTISAN 1 %, poudre pour application cutanée
 comprimé et solution(s) et granules et poudre et pommade;1;MERCURIUS DULCIS POUR PRÉPARATIONS HOMÉOPATHIQUES;MERCURIUS DULCIS LEHNING, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;FUMARATE DE BISOPROLOL;BISOPROLOL/HYDROCHLOROTHIAZIDE SANDOZ 5 mg/6,25 mg, comprimé pelliculé
suppositoire;1;GLYCÉROL;SUPPOSITOIRE A LA GLYCERINE GIFRER NOURRISSONS, suppositoire
comprimé pelliculé sécable;1;RISPÉRIDONE;RISPERIDONE CRISTERS 2 mg, comprimé pelliculé sécable
lyophilisat;1;MÉTOPIMAZINE;VOGALIB 7,5 mg SANS SUCRE, lyophilisat oral édulcoré à l'aspartam
comprimé pelliculé;1;GABAPENTINE;GABAPENTINE ARROW 600 mg, comprimé pelliculé
comprimé et  comprimé;2;DÉSOGESTREL;ÉTHINYLESTRADIOL;OPTIDESO 30 microgrammes/150 microgrammes, comprimé
gélule;1;CHLORHYDRATE DE LOPÉRAMIDE;LOPERAMIDE TEVA CONSEIL 2 mg, gélule
gélule;1;ITRACONAZOLE;ITRACONAZOLE HEXAL 100 mg, gélule
lyophilisat;1;MÉTOPIMAZINE;VOGALENE LYOC 7,5 mg, lyophilisat oral
comprimé sécable;1;LORATADINE;LORATADINE RATIOPHARM 10 mg, comprimé sécable
comprimé pelliculé;1;FUMARATE DE BISOPROLOL;BISOPROLOL RPG 5 mg, comprimé pelliculé
suspension pour pulvérisation;1;DIPROPIONATE DE BÉCLOMÉTASONE;RHINOMAXIL 100 microgrammes/dose, suspension pour pulvérisation nasale
gélule;1;CÉLÉCOXIB;CELECOXIB ARROW 200 mg, gélule
solution buvable;1;PROPRANOLOL (CHLORHYDRATE DE);HEMANGIOL 3,75 mg/ml, solution buvable
suppositoire;1;INDOMÉTACINE;INDOCID 100 mg, suppositoire
poudre pour application;1;ISOCONAZOLE (NITRATE D');FAZOL 2 POUR CENT, poudre pour application locale
solution injectable;1;ÉPOÉTINE BÊTA ;NEORECORMON 2000 UI, solution injectable en seringue préremplie
poudre et  solvant pour solution injectable;1;DÉGARÉLIX (ACÉTATE DE);FIRMAGON 80 mg, poudre et solvant pour solution injectable
poudre pour solution buvable;1;PARACÉTAMOL;PARACETAMOL ARROW 500 mg, poudre pour solution buvable en sachet-dose
comprimé pelliculé;1;SUCCINATE DE SOLIFÉNACINE;VESICARE 10 mg, comprimé pelliculé
solution et  solution injectable;1;PÉGINTERFÉRON BÊTA-1A ;PLEGRIDY 63 microgrammes, solution injectable en stylo prérempli.PLEGRIDY 94 microgrammes, solution injectable en stylo prérempli.
gélule;1;TÉMOZOLOMIDE;TEMOZOLOMIDE MYLAN 250 mg, gélule
comprimé sécable;1;PRAVASTATINE SODIQUE;PRAVASTATINE ALS 20 mg, comprimé sécable
solution pour application;1;DIGLUCONATE DE CHLORHEXIDINE;SEPTIVON 1,5 %, solution pour application cutanée
 comprimé et solution(s) et granules et poudre et pommade;1;ARSENICUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;ARSENICUM METALLICUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH
poudre et  solvant pour suspension injectable à libération prolongée;1;TRIPTORÉLINE (EMBONATE DE);DECAPEPTYL LP 22,5 mg, poudre et solvant pour suspension injectable à libération prolongée
comprimé quadrisécable;1;FLUINDIONE;PREVISCAN 20 mg, comprimé quadrisécable
solution pour perfusion;1;LÉVOFLOXACINE HÉMIHYDRATÉE;LEVOFLOXACINE MYLAN 5 mg/ml, solution pour perfusion
comprimé dispersible;1;AMOXICILLINE TRIHYDRATÉE;AMOXICILLINE EG 1 g, comprimé dispersible
gélule;1;ADÉNOSINE ET D'HEPTAMINOL (PHOSPHATE D');AMPECYCLAL 300 mg, gélule
poudre et  solvant pour solution injectable;1;CYCLOPHOSPHAMIDE;ENDOXAN 500 mg, poudre pour solution injectable
poudre pour solution buvable;3;SODIUM (PICOSULFATE DE);ACIDE CITRIQUE ANHYDRE;MAGNÉSIUM (OXYDE DE) LÉGER;CITRAFLEET, poudre pour solution buvable en sachet-dose
solution buvable;3;CHAMOMILLA VULGARIS POUR PRÉPARATIONS HOMÉOPATHIQUES;PHYTOLACCA DECANDRA POUR PRÉPARATIONS HOMÉOPATHIQUES;RHEUM OFFICINALE POUR PRÉPARATIONS HOMÉOPATHIQUES;CAMILIA, solution buvable en récipient unidose
comprimé;2;PÉRINDOPRIL TERT-BUTYLAMINE;BÉSILATE D'AMLODIPINE;PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE EG 8 mg/10 mg, comprimé
comprimé pelliculé sécable;1;LÉVÉTIRACÉTAM;LEVETIRACETAM CRISTERS 1000 mg, comprimé pelliculé sécable
comprimé dispersible ou à croquer;1;LAMOTRIGINE;LAMICTAL 2 mg, comprimé dispersible ou à croquer
comprimé;1;LITHIUM (GLUCONATE DE);OLIGOSTIM LITHIUM, comprimé
granules et  solution en gouttes en gouttes;1;RICINUS COMMUNIS POUR PRÉPARATIONS HOMÉOPATHIQUES;RICINUS COMMUNIS WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé sécable;1;LORAZÉPAM;LORAZEPAM BIOGARAN 1 mg, comprimé sécable
comprimé pelliculé sécable;1;GABAPENTINE;GABAPENTINE PFIZER 800 mg, comprimé pelliculé sécable
comprimé pelliculé;3;PÉRINDOPRIL ARGININE;INDAPAMIDE;BÉSILATE D'AMLODIPINE;TRIPLIXAM 10 mg/2,5 mg/10 mg, comprimé pelliculé
comprimé;1;RAMIPRIL;RAMIPRIL KRKA 5 mg, comprimé
comprimé pelliculé;1;OLANZAPINE;OLANZAPINE ZYDUS 10 mg, comprimé pelliculé
solution pour application;1;DIGLUCONATE DE CHLORHEXIDINE;BIORGASEPT 0,5 %, solution pour application cutanée
comprimé pelliculé sécable;1;VALSARTAN;VALSARTAN MYLAN 160 mg, comprimé pelliculé sécable
comprimé pelliculé sécable;2;HYDROCHLOROTHIAZIDE;LOSARTAN POTASSIQUE;LOSARTAN/HYDROCHLOROTHIAZIDE ISOMED 50 mg/12,5 mg, comprimé pelliculé sécable
